system   I             system.c:245  al_install_system                [   0.00055] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00107] Also searching D:\b\projektyprogramowanie\Boomanek\Bomb\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00133] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00135] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00386] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.00923] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01066] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.01069] al_display=00AD5550
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.01071] al_display->vt=00AD5450
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01115] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.01118] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01122] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01124] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01127] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01128] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01131] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01132] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01135] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01137] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
